"date","lr"
2015-01-31,5.7
2015-02-28,5.5
2015-03-31,5.4
2015-04-30,5.4
2015-05-31,5.6
2015-06-30,5.3
2015-07-31,5.2
2015-08-31,5.1
2015-09-30,5
2015-10-31,5
2015-11-30,5.1
2015-12-31,5
2016-01-31,4.9
2016-02-29,4.9
2016-03-31,5
2016-04-30,5
2016-05-31,4.8
2016-06-30,4.9
2016-07-31,4.8
2016-08-31,4.9
2016-09-30,5
2016-10-31,4.9
2016-11-30,4.7
2016-12-31,4.7
2017-01-31,4.7
2017-02-28,4.6
2017-03-31,4.4
2017-04-30,4.4
2017-05-31,4.4
2017-06-30,4.3
2017-07-31,4.3
2017-08-31,4.4
2017-09-30,4.2
2017-10-31,4.1
2017-11-30,4.2
2017-12-31,4.1
2018-01-31,4.1
2018-02-28,4.1
2018-03-31,4
2018-04-30,4
2018-05-31,3.8
2018-06-30,4
2018-07-31,3.8
2018-08-31,3.8
2018-09-30,3.7
2018-10-31,3.8
2018-11-30,3.7
2018-12-31,3.9
2019-01-31,4
2019-02-28,3.8
2019-03-31,3.8
2019-04-30,3.6
2019-05-31,3.6
2019-06-30,3.7
2019-07-31,3.7
2019-08-31,3.7
2019-09-30,3.5
2019-10-31,3.6
2019-11-30,3.5
2019-12-31,3.5
